id	orszag	helyezes	ev	helyszin
1	Anglia	1	1966	Anglia
2	Németország	2	1966	Anglia
3	Portugália	3	1966	Anglia
4	Szovjetunió	4	1966	Anglia
5	Argentína	5	1966	Anglia
6	Magyarország	6	1966	Anglia
7	Uruguay	7	1966	Anglia
8	Koreai NDK	8	1966	Anglia
9	Olaszország	9	1966	Anglia
10	Spanyolország	10	1966	Anglia
11	Brazília	11	1966	Anglia
12	Mexikó	12	1966	Anglia
13	Chile	13	1966	Anglia
14	Franciaország	13	1966	Anglia
15	Bulgária	15	1966	Anglia
16	Svájc	16	1966	Anglia
17	Argentína	1	1978	Argentína
18	Hollandia	2	1978	Argentína
19	Brazília	3	1978	Argentína
20	Olaszország	4	1978	Argentína
21	Lengyelország	5	1978	Argentína
22	Németország	6	1978	Argentína
23	Ausztria	7	1978	Argentína
24	Peru	8	1978	Argentína
25	Tunézia	9	1978	Argentína
26	Spanyolország	10	1978	Argentína
27	Skócia	11	1978	Argentína
28	Franciaország	12	1978	Argentína
29	Svédország	13	1978	Argentína
30	Irán	14	1978	Argentína
31	Magyarország	15	1978	Argentína
32	Mexikó	16	1978	Argentína
33	Uruguay	1	1950	Brazília
34	Brazília	2	1950	Brazília
35	Svédország	3	1950	Brazília
36	Spanyolország	4	1950	Brazília
37	Svájc	6	1950	Brazília
38	Olaszország	7	1950	Brazília
39	Anglia	8	1950	Brazília
40	Jugoszlávia	8	1950	Brazília
41	Chile	9	1950	Brazília
42	Egyesült Államok	10	1950	Brazília
43	Paraguay	11	1950	Brazília
44	Mexikó	12	1950	Brazília
45	Bolívia	13	1950	Brazília
46	Brazília	1	1962	Chile
47	Csehszlovákia	2	1962	Chile
48	Chile	3	1962	Chile
49	Jugoszlávia	4	1962	Chile
50	Magyarország	5	1962	Chile
51	Szovjetunió	6	1962	Chile
52	Németország	7	1962	Chile
53	Anglia	8	1962	Chile
54	Olaszország	9	1962	Chile
55	Argentína	10	1962	Chile
56	Mexikó	11	1962	Chile
57	Uruguay	12	1962	Chile
58	Spanyolország	13	1962	Chile
59	Kolumbia	14	1962	Chile
60	Bulgária	15	1962	Chile
61	Svájc	16	1962	Chile
62	Brazília	1	1994	Egyesült Államok
63	Olaszország	2	1994	Egyesült Államok
64	Svédország	3	1994	Egyesült Államok
65	Németország	5	1994	Egyesült Államok
66	Románia	6	1994	Egyesült Államok
