id	sutiid	ertek	egyseg
1	32	500	db
2	76	10900	16 szeletes
3	106	4300	8 szeletes
4	88	300	db
5	116	16200	24 szeletes
6	135	250	db
7	127	4400	kg
8	50	13400	24 szeletes
9	70	700	db
10	31	5200	kg
11	96	3300	kg ​​
12	116	5700	8 szeletes
13	22	9000	16 szeletes
14	138	4400	kg
15	112	2900	kg
16	58	3200	kg
17	98	10400	16 szeletes
18	75	2100	rúd
19	24	11400	24 szeletes
20	62	600	db
21	61	8400	16 szeletes
22	105	10900	16 szeletes
23	20	4700	8 szeletes
24	123	1800	rúd
25	60	8200	16 szeletes
26	24	3900	8 szeletes
27	38	4300	8 szeletes
28	126	2100	rúd
29	64	750	db
30	109	300	db
31	66	350	
32	89	13200	24 szeletes
33	98	15400	24 szeletes
34	24	7400	16 szeletes
35	76	5700	8 szeletes
36	131	250	db
37	50	9200	16 szeletes
38	55	600	db
39	87	3400	kg
40	4	3500	koszorú
41	8	400	db
42	100	450	db
43	129	5300	8 szeletes
44	35	4700	8 szeletes
45	47	490	db
46	89	9000	16 szeletes
47	111	3300	kg
48	94	400	db
49	42	16200	24 szeletes
50	80	350	db
51	134	4700	8 szeletes
52	128	4000	kg
53	90	5200	kg
54	39	13200	24 szeletes
55	71	7400	16 szeletes
56	17	3400	kg
57	68	18400	24 szeletes
58	81	8200	16 szeletes
59	134	9000	16 szeletes
60	108	11400	24 szeletes
61	97	5200	kg
62	81	4300	8 szeletes
63	44	3800	kg
64	72	5700	8 szeletes
65	49	250	db
66	48	350	db
67	14	350	db
68	107	12200	24 szeletes
69	27	15400	24 szeletes
70	106	12100	24 szeletes
71	74	7400	16 szeletes
72	40	5700	8 szeletes
73	133	450	db
74	77	490	db
75	22	13200	24 szeletes
76	119	9000	16 szeletes
77	120	3400	kg
78	105	5700	8 szeletes
79	119	13200	24 szeletes
80	99	4600	kg
81	61	12200	24 szeletes
82	93	4200	kg
83	59	13200	24 szeletes
84	82	5700	8 szeletes
85	56	600	db
86	23	550	db
87	81	12100	24 szeletes
88	67	500	db
89	68	6400	8 szeletes
90	38	8200	16 szeletes
91	139	4700	8 szeletes
92	30	530	db
93	95	16200	24 szeletes
94	101	400	db
95	65	400	db
96	10	12100	24 szeletes
97	59	9000	16 szeletes
98	119	4700	8 szeletes
99	82	16200	24 szeletes
100	3	3300	kg
101	104	4200	kg
102	110	530	db
103	1	300	db
104	25	8200	16 szeletes
105	40	16200	24 szeletes
106	36	490	db
107	124	3900	8 szeletes
108	16	530	db
109	29	3500	koszorú
110	116	10900	16 szeletes
111	71	3900	8 szeletes
112	2	500	db
113	71	11400	24 szeletes
114	10	4300	8 szeletes
115	108	3900	8 szeletes
116	69	450	db
117	39	9000	16 szeletes
118	25	4300	8 szeletes
119	107	8400	16 szeletes
120	5	9000	12 szeletes
121	106	8200	16 szeletes
122	114	450	db
123	26	400	db
124	82	10900	16 szeletes
125	28	8200	16 szeletes
126	42	10900	16 szeletes
127	35	13200	24 szeletes
128	74	3900	8 szeletes
129	19	450	db
130	25	12100	24 szeletes
131	125	5700	8 szeletes
132	95	5700	8 szeletes
133	34	1700	rúd
134	121	530	db
135	76	16200	24 szeletes
136	13	400	db
137	60	12100	24 szeletes
138	33	350	db
139	132	530	db
140	117	9900	16 szeletes
141	27	10400	16 szeletes
142	18	490	db
143	124	7400	16 szeletes
144	122	5200	kg
145	59	4700	8 szeletes
146	124	11400	24 szeletes
147	134	13200	24 szeletes
148	45	450	db
149	63	350	db
150	6	3900	8 szeletes
151	28	4300	8 szeletes
152	37	3900	8 szeletes
153	52	5000	kg
154	61	4500	8 szeletes
155	86	600	db
156	6	7400	16 szeletes
157	37	7400	16 szeletes
158	11	490	db
159	108	7400	16 szeletes
160	35	9000	16 szeletes
161	107	4500	8 szeletes
162	6	11400	24 szeletes
163	79	4000	kg
164	60	4300	8 szeletes
165	21	5700	8 szeletes
166	28	12100	24 szeletes
167	15	5000	kg
168	21	5700	8 szeletes
169	37	11400	24 szeletes
170	74	11400	24 szeletes
171	103	650	db
172	43	4200	kg 
173	12	3400	kg
174	27	5400	8 szeletes
175	7	490	db
176	84	5200	kg
177	115	3600	kg
178	51	4000	kg
179	118	450	db
180	41	530	db
181	135	400	db
182	73	5400	8 szeletes
183	10	8200	16 szeletes
184	98	5400	8 szeletes
185	113	850	db
186	130	350	db
187	39	4700	8 szeletes
188	136	3400	kg
189	83	650	db
190	91	800	20 dkg
191	46	5200	kg
192	102	330	db
193	95	10900	16 szeletes
194	54	580	db
195	57	530	db
196	22	4700	8 szeletes
197	92	450	db
198	68	12400	16 szeletes
199	42	5700	8 szeletes
200	40	10900	16 szeletes
201	9	450	db
202	78	4200	kg
203	85	500	db
204	137	600	db
205	50	4900	8 szeletes
206	38	12100	24 szeletes
207	53	4200	kg
208	89	4700	8 szeletes
