tkod	fkod
11	5
3	17
18	8
25	1
16	15
3	30
32	1
1	36
9	29
12	29
39	4
44	2
10	37
31	18
5	45
22	28
23	27
19	32
20	31
50	3
51	2
35	19
36	19
37	21
24	35
2	58
4	56
29	34
46	17
62	1
17	48
28	38
38	29
58	9
33	35
36	32
21	48
34	35
35	35
53	17
30	41
52	20
56	17
7	68
69	6
8	68
14	62
46	30
75	1
26	51
68	10
40	39
5	75
77	3
13	68
6	77
53	30
7	77
65	19
56	30
70	16
82	5
43	46
72	17
13	77
79	11
47	44
67	24
41	53
55	40
61	34
82	13
42	54
84	12
74	23
49	50
63	36
85	14
64	36
71	29
88	12
95	5
99	1
78	23
79	22
100	1
72	30
60	43
95	13
87	24
73	39
98	14
83	31
80	35
109	7
41	76
86	31
45	73
106	12
48	72
57	70
115	12
66	64
94	36
79	52
89	42
96	36
59	74
76	57
104	29
110	25
112	23
114	21
117	18
127	9
108	29
128	9
131	6
79	59
93	45
125	14
134	5
91	51
90	53
138	9
81	71
97	56
89	65
89	67
144	14
130	29
103	57
101	61
102	60
85	78
122	42
90	76
136	31
93	75
133	35
137	31
140	29
123	47
105	66
118	55
143	31
135	40
142	33
98	78
107	69
129	49
113	69
119	65
116	70
122	65
111	77
122	67
121	72
132	61
139	58
125	78
141	63
144	78
145	79
146	79
147	80
