id	ev	dokszam
1	2015	22
2	2014	15
3	2015	29
4	2014	15
5	2014	22
6	2014	15
7	2014	22
8	2015	30
9	2014	15
10	2015	18
11	2014	28
12	2014	15
13	2015	24
14	2016	
15	2014	20
16	2014	22
17	2014	15
18	2014	32
19	2016	
20	2014	16
21	2015	22
22	2014	22
23	2015	22
24	2016	
25	2014	18
26	2014	28
27	2014	15
28	2015	32
29	2014	22
30	2014	21
31	2014	17
32	2015	20
33	2015	30
34	2014	15
35	2015	31
36	2015	24
37	2014	30
38	2014	15
39	2014	14
40	2014	15
41	2014	22
42	2014	15
43	2015	26
44	2014	22
45	2014	15
46	2014	15
47	2014	21
48	2014	22
49	2014	30
50	2014	22
51	2014	36
52	2014	18
53	2016	
54	2014	15
55	2014	18
56	2016	
57	2015	32
58	2014	15
59	2014	22
60	2015	30
61	2016	
62	2014	16
63	2014	22
64	2014	15
65	2015	20
66	2014	30
67	2014	15
68	2015	22
69	2014	15
70	2016	
71	2014	22
72	2017	
73	2014	30
74	2014	22
75	2014	30
76	2014	30
77	2014	15
78	2014	30
79	2014	22
80	2014	30
81	2014	22
82	2014	15
83	2014	15
84	2015	30
85	2014	22
86	2014	14
87	2014	22
88	2014	22
89	2014	22
90	2014	22
91	2014	22
92	2016	
93	2016	
94	2016	
95	2014	15
96	2016	
97	2014	22
98	2014	22
99	2015	32
100	2014	22
101	2015	30
102	2014	16
103	2014	29
104	2016	
105	2014	15
106	2014	22
107	2014	22
108	2015	32
109	2015	30
110	2014	15
111	2014	15
112	2016	
113	2019	22
114	2019	22
115	2019	16
116	2019	14
117	2019	20
118	2019	20
119	2019	24
120	2019	19
121	2019	31
122	2019	31
123	2019	20
124	2019	20
125	2019	13
126	2019	30
127	2019	22
128	2019	16
