id	ut	telepid
1	M0	13
2	M0	20
3	M1	21
4	M1	54
5	M2	34
6	M2	94
7	M3	22
8	M3	10
9	M4	23
10	M4	84
11	M5	24
12	M5	99
13	M6	19
14	M6	59
15	M7	26
16	M7	74
17	M8	6
18	M8	3
19	M9	111
20	M9	89
21	M15	77
22	M15	97
23	M19	51
24	M19	51
25	M25	60
26	M25	38
27	M30	40
28	M30	118
29	M31	88
30	M31	45
31	M32	1
32	M32	62
33	M34	128
34	M34	131
35	M35	47
36	M35	11
37	M43	105
38	M43	27
39	M44	85
40	M44	9
41	M49	92
42	M49	28
43	M51	25
44	M51	33
45	M60	16
46	M60	8
47	M70	75
48	M70	117
49	M76	56
50	M76	70
51	M80	96
52	M80	71
53	M81	69
54	M81	101
55	M83	52
56	M83	93
57	M85	53
58	M85	103
59	M86	72
60	M86	78
61	M87	115
62	M87	73
63	M90	57
64	M90	107
65	M100	43
66	M100	4
