enekesid;szerepid;utoljara
1;34;2002
1;84;2001
1;220;1996
2;54;2003
2;152;2004
2;159;1991
2;182;2004
2;222;1992
3;83;1998
3;295;1985
4;76;1982
4;244;2000
5;153;1999
5;297;2004
6;86;2004
7;37;1998
7;74;2004
8;174;2004
9;19;1991
9;168;1962
9;186;1992
9;220;1991
10;128;2004
11;216;2002
11;260;1987
11;266;1979
12;150;1998
12;288;1991
13;265;1984
13;284;1993
14;8;1978
14;159;1981
14;189;1974
14;233;1985
14;300;1979
15;55;1984
15;58;1993
15;103;1996
15;154;1991
15;246;1981
15;262;1979
16;13;2002
16;282;2004
16;288;2001
17;13;1994
17;52;1991
17;150;1999
17;192;2003
17;216;2002
17;282;1994
17;288;1971
18;19;2000
19;46;1994
19;134;1981
19;228;1981
19;304;2000
20;11;2004
20;12;2004
20;29;2004
20;68;2004
20;226;2004
20;240;2004
20;245;2004
20;258;2004
20;270;2004
21;97;1983
21;166;1968
21;185;1986
21;208;1981
21;214;2000
21;249;1983
21;280;1970
22;17;2003
22;244;2003
22;251;2003
23;150;2004
23;224;2004
24;20;1998
24;152;2003
24;202;1994
25;263;1997
26;150;1998
26;260;1999
26;282;1998
26;288;2004
27;14;2001
27;38;1994
27;55;1995
27;88;1998
27;122;2002
27;129;1996
27;135;1999
27;177;1992
27;231;1995
27;236;1993
27;242;1997
28;196;1997
29;154;1995
29;163;1991
29;204;1972
29;236;1989
29;241;1976
29;262;1971
30;35;1980
30;112;2004
30;300;1973
31;224;2004
31;260;1996
31;282;1975
32;34;1986
32;116;1985
32;146;2002
32;167;2004
32;287;1996
33;19;2005
33;46;2005
33;76;2005
33;167;2005
33;251;2005
33;271;2005
33;295;2005
33;301;2005
34;19;1970
34;134;1991
34;207;1982
34;295;1979
34;304;1990
35;8;2004
35;257;1980
36;19;1993
36;167;1997
37;267;1981
38;52;2001
38;121;2002
38;150;2003
38;216;2004
38;224;1997
38;266;1992
38;282;2000
39;99;2005
40;13;1995
40;52;1982
40;67;1990
40;121;1995
40;192;1984
40;224;1993
40;266;2004
40;282;1986
40;288;1995
41;35;2004
41;40;2004
41;44;2004
41;45;2004
41;49;2004
41;60;2004
41;63;2004
41;71;2004
41;80;2004
41;91;2004
41;94;2004
41;95;2004
41;117;2004
41;130;2004
41;202;2004
41;217;2004
41;291;2004
41;300;2004
42;121;1978
42;282;1987
43;11;1972
43;173;2003
44;13;2004
44;67;2002
44;216;1999
45;42;1983
45;68;1982
45;102;1994
45;118;2000
45;148;2002
45;212;2000
45;273;1989
46;67;1990
46;150;1998
46;260;1983
46;282;1977
47;286;2003
48;164;2002
48;254;1986
48;298;1960
49;167;1999
49;168;2003
49;191;2002
49;271;2001
50;64;2005
50;259;2005
51;60;2006
51;255;2006
51;257;2006
52;218;1985
53;301;2000
54;34;1982
54;191;1999
54;267;1984
54;281;1989
54;295;1982
54;301;1983
55;148;2003
56;39;2005
56;59;2005
56;254;2005
56;268;2005
57;216;2004
58;26;1999
58;62;1966
58;115;1973
58;161;1974
58;248;1995
58;297;1974
59;67;1980
59;121;1999
59;260;1980
59;266;1980
59;282;1983
60;21;2001
60;178;1993
61;53;1990
61;82;2003
61;139;1990
61;143;1986
61;214;1990
61;243;1978
61;298;1992
62;83;2003
62;134;1999
62;168;1998
62;301;2000
63;124;2001
64;224;1971
65;34;1985
65;120;1976
65;251;2001
65;301;1981
66;16;2006
66;87;2006
66;88;2006
66;101;2006
66;144;2006
66;253;2006
67;26;2003
67;42;1987
67;68;2002
67;89;1973
67;100;1984
67;131;1993
67;172;2004
67;232;1978
67;239;1987
67;264;1988
67;273;1970
67;274;1987
67;290;1992
68;32;1984
68;61;2001
68;254;1990
68;279;1979
68;298;1997
69;13;1994
69;121;1990
69;192;1983
69;216;1991
69;266;1987
69;288;2002
70;17;1990
70;76;2004
70;83;1997
70;116;1994
70;207;2003
70;244;1999
70;267;1987
70;287;1984
71;8;1994
71;27;1993
71;33;1998
71;40;1988
71;41;2001
71;54;2000
71;117;2002
71;141;1999
71;152;1995
71;156;1998
71;211;1993
71;222;2001
71;229;2002
71;303;1996
72;67;1970
72;266;1974
72;282;1972
73;23;2000
73;53;1994
73;198;1994
73;250;1998
73;279;1986
74;102;1976
74;128;2000
74;138;2000
74;178;2004
74;181;1998
75;24;2000
75;42;2001
75;68;1978
75;75;1977
75;89;1983
75;108;1982
75;109;1999
75;148;1999
75;247;1985
75;258;1997
75;269;1997
75;274;1999
75;276;1993
75;290;1976
76;52;1994
76;192;1968
76;266;2001
76;288;1976
77;39;1991
77;57;1964
77;66;1977
77;132;1986
77;137;1966
77;164;1966
77;165;1976
77;196;1996
77;254;1982
77;268;1996
78;99;1995
78;102;2004
78;131;1985
78;138;1991
78;149;1993
78;178;1979
78;234;1969
78;270;1962
79;50;1997
79;111;1993
79;122;2001
79;199;2000
80;88;1992
80;200;1985
80;272;1986
81;46;1983
81;76;1985
81;191;1995
81;287;1982
81;301;1988
82;99;1993
83;46;1992
83;76;2004
83;116;1998
83;120;1995
83;146;1985
83;168;1987
83;186;1998
83;191;2004
83;228;1986
83;287;1989
83;295;1997
84;33;1998
84;48;2000
84;119;1997
84;159;2002
84;193;1998
85;34;2004
85;116;1999
85;134;1993
85;167;2001
85;186;2003
85;207;1998
85;228;1998
85;244;2002
86;14;1975
86;77;1978
86;171;1990
86;200;1968
86;237;1973
86;253;1988
86;285;1999
87;248;1962
88;71;2003
88;106;2004
88;182;2003
88;194;2004
88;211;2004
89;13;1984
89;224;1979
89;260;1992
90;44;2004
90;49;2004
90;56;2004
90;60;2004
90;145;2004
91;214;1993
91;243;2002
91;278;1992
91;298;1997
92;13;1967
92;67;1990
92;150;1989
92;216;1999
92;282;1969
93;59;1992
93;286;1999
94;181;1996
94;201;2004
94;248;1996
94;264;2002
95;19;1990
95;218;1990
95;244;1996
96;84;2003
96;120;2000
96;186;1997
97;148;2004
98;20;1994
98;194;2000
99;52;1959
99;67;1971
99;192;1996
99;260;1999
99;282;1980
99;288;1991
100;198;2004
100;243;2004
101;63;1995
102;267;2001
102;287;1979
103;52;1993
104;8;2004
104;145;2004
105;224;2002
106;148;1990
107;176;2002
107;262;2003
108;303;1999
109;88;2004
109;111;2004
109;129;2004
109;158;2004
109;246;2003
110;100;1987
110;264;1975
111;61;2004
111;98;2004
111;113;2001
111;132;1999
111;137;2003
111;147;2004
111;190;2002
111;196;2004
112;57;2003
112;66;1999
112;137;2003
112;147;1999
112;164;2000
112;254;2000
112;279;2002
113;52;2001
113;121;1992
113;266;1983
114;12;1995
114;108;1985
114;292;2003
115;11;1982
115;18;2004
115;75;1990
115;109;1991
115;128;1970
115;131;1969
115;161;2002
115;179;1984
115;201;1994
115;206;1974
115;212;1999
115;226;2004
115;234;1999
115;245;1979
115;270;1979
115;273;1997
115;283;2002
115;296;1982
116;37;1999
116;43;2002
116;50;2000
116;58;1999
116;174;2003
116;177;2002
116;237;2000
116;242;2002
116;253;2004
117;104;1993
117;145;1999
117;255;1995
117;257;1994
118;25;1983
119;8;1996
119;30;1988
119;35;1999
119;60;1986
119;71;1994
119;193;1973
119;202;1996
119;217;1996
119;261;2004
120;66;1986
120;185;1997
121;216;1984
121;224;1979
121;288;1994
122;34;2004
122;134;1994
122;167;1988
122;218;2001
122;228;1995
122;251;1990
122;271;1989
123;32;2002
124;64;1972
125;52;2001
125;150;2002
125;192;2004
125;224;2000
125;288;2004
126;194;1985
127;17;2002
127;83;2001
127;146;1966
127;207;1978
127;220;1994
127;244;1976
127;251;1965
127;267;1975
127;287;1974
127;295;2001
128;109;2004
129;68;1996
129;96;1983
129;100;1993
129;201;1978
129;292;1986
129;296;1989
130;36;1995
130;146;2004
130;167;1984
130;287;1981
131;221;1994
132;116;1995
132;220;2000
132;295;1999
133;26;1996
133;99;1998
133;105;1999
133;125;1996
133;206;2004
133;212;1995
133;226;1994
133;230;2004
133;258;1999
133;270;1994
133;274;1995
133;283;2000
133;292;1995
134;8;1983
134;27;1994
134;30;2004
134;35;1987
134;44;1989
134;63;1994
134;90;1998
134;205;2004
134;211;1977
134;257;1996
135;32;1996
135;72;1996
135;166;1990
135;243;1986
136;268;2004
136;293;1997
137;67;2005
137;121;2005
137;216;2005
138;67;1999
138;150;1974
138;192;1992
138;216;1982
138;260;1977
138;282;1994
139;242;2004
139;259;2004
140;26;1990
140;62;1995
140;99;1993
140;149;1989
140;179;1998
140;230;2000
140;273;1986
141;118;1997
141;128;2001
141;142;2001
141;232;1997
142;59;1982
142;61;1977
142;92;1991
142;143;1989
142;190;1990
142;279;1986
143;13;1979
143;67;2003
143;216;1993
143;260;1982
143;282;1998
144;47;2000
144;235;2003
145;63;2003
145;136;2001
145;222;2001
146;52;1967
146;67;1973
146;216;1970
147;13;1979
147;52;1987
147;67;1993
147;150;1991
147;192;1998
147;216;1998
147;224;1984
147;266;2003
147;282;1988
147;288;1980
148;192;1999
148;288;1989
149;88;1989
149;158;1986
149;275;2003
150;13;1999
150;67;2002
150;150;1989
150;192;1994
150;266;1992
151;17;1963
151;83;1975
151;146;1989
152;98;2004
152;143;2004
152;166;1992
152;198;1983
153;126;1983
153;208;1981
154;47;1983
154;129;1988
155;34;1999
155;120;1979
155;186;1997
155;244;1992
156;216;1987
157;28;1966
158;131;2000
158;138;2003
158;172;1997
158;179;1993
158;206;1992
158;264;1993
159;150;1993
160;148;2004
160;245;2003
161;190;1996
161;268;2004
161;284;2000
162;13;2002
162;67;1995
162;121;1976
162;150;1959
162;192;1979
162;260;1973
162;266;1973
162;282;1961
163;41;2003
163;49;2002
163;193;2004
163;202;2000
164;58;2001
164;64;1998
164;69;1974
164;93;1976
164;103;1986
164;177;1981
164;225;1971
165;223;2004
166;13;2000
166;52;1982
166;67;1968
166;121;2002
166;150;1969
166;192;1976
166;224;1989
166;260;1968
166;266;1976
166;282;2000
166;288;1999
167;55;1984
167;101;1979
167;133;1992
167;174;1977
168;120;2004
168;146;1997
169;42;1971
169;197;1993
170;30;1991
170;33;2001
170;54;1990
170;114;1990
170;136;1991
170;160;1997
170;184;1999
171;62;1995
171;142;1988
171;153;1997
171;206;1986
172;29;1976
172;128;1991
172;178;1987
173;132;2001
173;198;1990
173;268;2000
174;25;1997
174;74;1997
174;157;2002
174;171;1996
174;200;1998
174;203;2000
174;235;1998
174;285;2001
175;19;1997
175;34;1999
175;76;1997
175;120;1983
175;134;1975
175;146;2000
175;168;1989
175;186;1982
175;191;1979
175;244;1982
175;251;1982
175;304;1974
176;37;1979
177;87;2000
177;154;1999
177;219;1998
177;223;1992
178;92;2000
178;137;1963
178;190;1995
179;29;1995
179;99;1997
179;269;1997
180;132;1982
180;139;1970
180;221;1981
180;293;1983
181;31;1996
181;243;1988
181;256;1998
182;67;1993
182;121;2000
182;216;1995
182;260;1996
182;282;1990
183;14;1999
183;50;2003
183;73;2001
183;79;1981
183;93;1994
183;158;2001
183;215;1968
183;236;1974
183;246;1977
183;272;1985
183;277;1966
183;285;1995
183;305;1987
184;106;1971
185;114;2003
186;124;1996
186;142;1998
186;180;1995
186;212;2004
186;230;1996
186;269;2002
186;283;1995
186;296;2002
187;76;2002
187;83;2004
187;84;1996
187;191;2001
187;220;1985
188;287;2000
189;25;1999
189;74;1987
189;103;1996
189;169;1981
189;170;1988
189;176;1992
189;177;1992
189;219;1990
189;223;1979
189;246;2000
189;259;2001
190;150;1997
190;192;2004
191;45;1999
191;184;2000
192;188;2002
192;203;1981
192;294;1976
193;30;1998
194;17;2003
194;46;2003
194;84;2002
194;120;2003
194;146;2000
194;186;2004
194;191;2000
194;218;2004
194;251;2001
194;271;2003
194;295;2004
194;301;2004
195;76;1985
195;84;1979
195;134;2003
195;191;2004
195;244;1975
195;271;1991
195;281;1993
195;301;1980
196;29;1991
196;124;1991
196;172;1998
197;13;2000
198;9;1987
198;59;1996
198;166;2004
199;52;1991
199;67;1987
199;192;1984
199;288;2004
200;10;1995
200;65;1997
200;133;2003
200;163;1996
200;209;2000
200;246;1995
200;253;1997
201;70;1982
201;91;1972
201;141;1969
201;160;1997
201;222;1974
202;50;2002
202;195;2000
203;10;1990
203;14;1994
203;47;1990
203;73;1992
203;87;1976
203;101;1969
203;103;1966
203;107;1975
203;127;1986
203;163;1979
203;188;2000
203;246;1973
203;272;2004
203;285;1973
204;30;1971
204;49;1977
204;94;1993
204;104;1989
204;152;1985
204;184;2003
204;211;1978
204;255;1966
205;112;2004
