frekvencia	teljesitmeny	csatorna	adohely	cim
87,6	7,6	Neo FM 	Győr	Szabadhegy 
87,6	0,5	Gong Rádió	Csongrád	
87,6	  	Kontakt Rádió 	Budapest	Terézváros 
87,8	0,001	ZsebRádió 	Halásztelek 	
87,8	0,0006	Remete Rádió 	Pécs	Istenkút 
87,8	0,0005	Origóház Rádió 	Pécs	Mecsekszabolcs 
87,8	0,001	Rádió Sansz - A lehetőség! 	Székesfehérvár 	
87,9	0,2	Dió Rádió 	Hatvan 	
87,9	0,16	Rádió 1 	Sárbogárd 	
88	0,125	N-Joy 88,0	Marcali 	
88	0,002	Méliusz Rádió 	Debrecen 	
88	0,007	Berettyó Night 	Berettyóújfalu 	
88	0,001	Alfa Rádió 	Balkány 	
88	  	Karcag FM 	Karcag 	
88,1	1	Rise FM 	Budapest	Gellért-hegy 
88,1	  	  	Győr 	
88,2	0,2	Mária Rádió 	Kiskunmajsa 	
88,2	0,05	Pelso Rádió 	Balatonföldvár 	
88,3	5	MR1-Kossuth Rádió 	Tokaj	Nagy-kopasz 
88,3	1	Mária Rádió 	Komárom 	
88,3	0,1	Juventus Rádió	Mezőkovácsháza 	
88,4	2	Neo FM 	Csengőd	Kiskőrös 
88,4	0,3	Nyugat Rádió	Szombathely 	
88,6	0,1	Juventus Rádió	Orosháza 	
88,6	0,3	Tenkes Rádió 	Siklós 	
88,7	0,3	Parti Rádió 	Tiszafüred 	
88,7	0,24	Gong Rádió Baja 	Baja 	
88,7	0,001	Triangulum Rádió 	Őriszentpéter 	
88,7	0,002	Vértes Rádió 	Zámoly 	
88,8	0,1	Rádió C 	Budapest	Széchenyi-hegy 
88,8	0,1	Klubrádió 	Ajka 	
88,8	0,5	Rádió TOP 	Kazincbarcika 	
88,9	0,3	Rádió 1 Start 	Békéscsaba 	
88,9	0,2	Klubrádió Gyöngyös 	Gyöngyös	Sár-hegy 
88,9	0,1	N-Joy 88,9	Zalaegerszeg 	
88,9	0,001	Muzik Rádió 	Székesfehérvár 	
89	1	MR2-Petőfi Rádió 	Debrecen	Pallag 
89	0,1	Ezerjó Rádió 	Mór 	
89,2	0,05	Parti Rádió 	Abádszalók 	
89,4	6,3	MR2-Petőfi Rádió 	Csávoly 	
89,5	83	Juventus Rádió 	Budapest	Széchenyi-hegy 
89,5	0,05	MR1-Kossuth Rádió 	Barcs 	
89,6	0,2	Rádió 35 	Tiszaújváros 	
89,6	0,002	Mustár Rádió 	Nyíregyháza 	
89,8	0,1	Bajai Rádió 	Baja 	
89,8	0,2	Rádió Express 89,8 	Sárospatak 	
89,9	5	MR1-Kossuth Rádió 	Komádi 	
89,9	0,05	MR1-Kossuth Rádió 	Salgótarján 	
