id	eloado	cim
1	50 Cent	Curtis
2	A Társulat	A legjobb dalok
3	A Társulat	Sztárkarácsony a Társulattal
4	Abba	Gold - Greatest Hits
5	AC/DC	Black Ice
6	AC/DC	Iron Man 2
7	Adagio	Érintés
8	Adagio	Gold
9	Adagio	Hollywood
10	Adam Lambert	For Your Entertainment
11	Adele	21
12	Ákos	40+
13	Ákos	A katona imája
14	Ákos	Arénakoncert 2011
15	Ákos	Még közelebb
16	Ákos	Test / Indiántánc
17	Alma - Bartos Erika	Balaton
18	Alma & Bródy	Játsszunk együtt!
19	Amy Winehouse	Back To Black
20	Amy Winehouse	Lioness Hidden Treasures
21	Andrea Bocelli	Concerto One Night In Central Park
22	Andrea Bocelli	Incanto
23	Andrea Bocelli	My Christmas
24	Andrea Bocelli	My Christmas / My Christmas 2010
25	Andrea Bocelli	Vivere - Greatest Hits
26	Andrewboy	Dirty Dance 2
27	Anti Fitness Club	Anti Fitness Club
28	Avril Lavigne	Goodbye Lullaby
29	Avril Lavigne	The Best Damn Thing
30	B. Tóth László	Retro-Poptarisznya
31	Balázs Fecó	60 - Csak az évek múltak el...
32	Balázs Fecó	Érints meg még egyszer
33	Barbra Streisand	Love Is The Answer
34	Barbra Streisand	The Ultimate Collection
35	Barbra Streisand	What Matters Most - Barbra Streisand Sings The Lyrics Of Alan & Marilyn Bergman
36	Baricz Gergő	Az első X - Az élő show-k 10 legnagyobb kedvence
37	Belga	Zigilemez
38	Bereczki Zoltán	Álomkép
39	Bereczki Zoltán - Szinetár Dóra	Duett Karácsony
40	Bereczki Zoltán - Szinetár Dóra	Musical Duett
41	Bereczki Zoltán - Szinetár Dóra	Musical Duett 2.
42	Bereczki Zoltán - Szinetár Dóra	Musical Duett Box
43	Bereczki Zoltán - Szinetár Dóra	Musical Duett Koncert
44	Beyoncé	4
45	Beyoncé	I Am... Sasha Fierce
46	Bikini	Elmúlt illúziók
47	Bikini	Őrzöm a lángot
48	Bikini	The Very Best Of
49	Bódi Guszti és a Fekete Szemek	Forr a vérem
50	Bon Jovi	Greatest Hits
51	Bon Jovi	Lost Highway
52	Bonanza Banzai	Jóslat / Búcsúkoncert
53	Britney Spears	Femme Fatale
54	Bródy János	Az Illés szekerén
55	Budapest Bár	Volume 1
56	Budapest Bár	Volume 2 - Tánc
57	Budapest Bár	Volume 3 - Zene
58	Budapest Bár	Volume 4 - Hoppá!
59	Caramel	Lélekdonor
60	Celine Dion	My Love Essential Collection
61	Coldplay	Mylo Xyloto
62	Coldplay	Viva La Vida
63	Crystal	Gregorian
64	Crystal	Világok hangjai
65	Csézy	Szívverés
66	Csicsi	Pimpinkin
