az	ev	tkaz	diakaz	ingyenes
3099	2004	29	148	0
3100	2004	51	148	0
3101	2004	50	148	0
3102	2004	58	148	0
3103	2004	35	148	0
3104	2004	41	148	0
3151	2004	29	140	0
3152	2004	58	140	0
3153	2004	35	140	0
3155	2004	29	161	0
3156	2004	51	161	0
3157	2004	50	161	0
3158	2004	58	161	0
3159	2004	57	161	0
3160	2004	41	161	0
3161	2004	27	365	0
3162	2004	28	365	0
3163	2004	46	365	0
3165	2004	62	365	0
3166	2004	63	365	0
3167	2004	49	365	0
3168	2004	48	365	0
3169	2004	56	365	0
3170	2004	21	365	0
3171	2004	40	365	0
3172	2004	33	20	1
3174	2004	59	20	1
3175	2004	60	20	1
3176	2004	54	20	1
3177	2004	53	20	1
3178	2004	55	20	1
3179	2004	69	20	1
3180	2004	42	20	1
3181	2004	33	103	0
3185	2004	54	103	0
3186	2004	53	103	0
3187	2004	42	103	0
3219	2004	27	420	1
3220	2004	46	420	1
3222	2004	62	420	1
3223	2004	63	420	1
3224	2004	49	420	1
3225	2004	48	420	1
3226	2004	56	420	1
3227	2004	36	420	1
3228	2004	37	420	1
3229	2004	34	420	1
3230	2004	21	420	1
3231	2004	40	420	1
3232	2004	27	402	0
3233	2004	46	402	0
3235	2004	62	402	0
3236	2004	63	402	0
3237	2004	49	402	0
3238	2004	48	402	0
3239	2004	56	402	0
3240	2004	36	402	0
3241	2004	37	402	0
3242	2004	34	402	0
3243	2004	21	402	0
3244	2004	40	402	0
3268	2004	29	149	0
3269	2004	51	149	0
3270	2004	50	149	0
3271	2004	58	149	0
3272	2004	35	149	0
3273	2004	41	149	0
3426	2004	27	304	1
3427	2004	28	304	1
3428	2004	46	304	1
3430	2004	62	304	1
3431	2004	63	304	1
3432	2004	49	304	1
3433	2004	48	304	1
3434	2004	56	304	1
3435	2004	21	304	1
3436	2004	40	304	1
3473	2004	20	254	0
3474	2004	29	254	0
3475	2004	51	254	0
3476	2004	50	254	0
3477	2004	52	254	0
3478	2004	58	254	0
3479	2004	57	254	0
3480	2004	35	254	0
3481	2004	41	254	0
3482	2004	27	315	1
3483	2004	28	315	1
3484	2004	46	315	1
3486	2004	62	315	1
3487	2004	63	315	1
3488	2004	49	315	1
3489	2004	48	315	1
3490	2004	56	315	1
3491	2004	21	315	1
3492	2004	40	315	1
3510	2004	51	141	0
3511	2004	50	141	0
3512	2004	58	141	0
3513	2004	35	141	0
3514	2004	41	141	0
3531	2004	27	423	0
3532	2004	28	423	0
3533	2004	46	423	0
3535	2004	62	423	0
3536	2004	63	423	0
3537	2004	49	423	0
3538	2004	48	423	0
3539	2004	56	423	0
3540	2004	21	423	0
3541	2004	40	423	0
3550	2004	29	160	0
3551	2004	51	160	0
3552	2004	50	160	0
3553	2004	58	160	0
3554	2004	35	160	0
3555	2004	41	160	0
3556	2004	27	387	0
3557	2004	28	387	0
3558	2004	46	387	0
3560	2004	62	387	0
3561	2004	63	387	0
3562	2004	49	387	0
3563	2004	48	387	0
3564	2004	56	387	0
3565	2004	21	387	0
3566	2004	40	387	0
3573	2004	29	157	1
3574	2004	51	157	1
3575	2004	50	157	1
3576	2004	58	157	1
3577	2004	35	157	1
3578	2004	41	157	1
3580	2004	40	388	1
3581	2004	33	117	0
3585	2004	54	117	0
3586	2004	53	117	0
3587	2004	69	117	0
3588	2004	42	117	0
3619	2004	29	224	0
3620	2004	51	224	0
3621	2004	50	224	0
3622	2004	58	224	0
3623	2004	35	224	0
3624	2004	41	224	0
3626	2004	29	241	0
3627	2004	51	241	0
3628	2004	50	241	0
3629	2004	58	241	0
3630	2004	35	241	0
3631	2004	41	241	0
3633	2004	29	195	0
3634	2004	51	195	0
3635	2004	50	195	0
3636	2004	58	195	0
3637	2004	35	195	0
3638	2004	41	195	0
3647	2004	20	23	0
3648	2004	29	23	0
3649	2004	51	23	0
3650	2004	50	23	0
3651	2004	58	23	0
3652	2004	57	23	0
3653	2004	35	23	0
3654	2004	41	23	0
3663	2004	51	233	0
3664	2004	50	233	0
3665	2004	58	233	0
3666	2004	35	233	0
3667	2004	41	233	0
3669	2004	29	166	0
3670	2004	51	166	0
3671	2004	50	166	0
3672	2004	58	166	0
3673	2004	35	166	0
3674	2004	41	166	0
3681	2004	27	399	0
3684	2004	46	399	0
3686	2004	62	399	0
3687	2004	63	399	0
3688	2004	49	399	0
3689	2004	48	399	0
3690	2004	56	399	0
3691	2004	36	399	0
3692	2004	37	399	0
3693	2004	34	399	0
3694	2004	21	399	0
3695	2004	40	399	0
3696	2004	33	108	0
3699	2004	54	108	0
3700	2004	53	108	0
3701	2004	42	108	0
3703	2004	29	188	0
3704	2004	51	188	0
3705	2004	50	188	0
3706	2004	58	188	0
3707	2004	57	188	0
3708	2004	41	188	0
3774	2004	27	371	0
3775	2004	28	371	0
3776	2004	46	371	0
3778	2004	62	371	0
3779	2004	63	371	0
3780	2004	49	371	0
3781	2004	48	371	0
3782	2004	56	371	0
3783	2004	21	371	0
3784	2004	40	371	0
3791	2004	27	358	0
3792	2004	46	358	0
3794	2004	62	358	0
3795	2004	63	358	0
3796	2004	48	358	0
3797	2004	56	358	0
3798	2004	36	358	0
3799	2004	37	358	0
3800	2004	34	358	0
3801	2004	21	358	0
3802	2004	40	358	0
3804	2004	51	167	0
3805	2004	50	167	0
3806	2004	58	167	0
3807	2004	57	167	0
3808	2004	41	167	0
3809	2004	27	339	0
3810	2004	28	339	0
3811	2004	46	339	0
3813	2004	62	339	0
3814	2004	63	339	0
3815	2004	49	339	0
3816	2004	48	339	0
3817	2004	56	339	0
3818	2004	21	339	0
3819	2004	40	339	0
3850	2004	27	352	0
3851	2004	28	352	0
3852	2004	46	352	0
3854	2004	62	352	0
3855	2004	63	352	0
3856	2004	49	352	0
3857	2004	48	352	0
3858	2004	56	352	0
3859	2004	21	352	0
3860	2004	40	352	0
3901	2004	58	259	0
3902	2004	57	259	0
3903	2004	35	259	0
3904	2004	41	259	0
4003	2004	27	324	0
4004	2004	28	324	0
4005	2004	46	324	0
4007	2004	62	324	0
4008	2004	63	324	0
4009	2004	56	324	0
4010	2004	40	324	0
4048	2004	51	142	0
4049	2004	50	142	0
4050	2004	58	142	0
4051	2004	57	142	0
4052	2004	41	142	0
4054	2004	51	274	0
4055	2004	50	274	0
4056	2004	41	274	0
4057	2004	27	346	1
4058	2004	28	346	1
4059	2004	46	346	1
4061	2004	62	346	1
4062	2004	63	346	1
4063	2004	49	346	1
4064	2004	48	346	1
4065	2004	56	346	1
4066	2004	36	346	1
4067	2004	37	346	1
4068	2004	34	346	1
4069	2004	39	346	1
4094	2004	33	98	0
4097	2004	54	98	0
4098	2004	53	98	0
4099	2004	42	98	0
4101	2004	33	99	0
4146	2004	33	102	0
4149	2004	54	102	0
4150	2004	53	102	0
4151	2004	42	102	0
4195	2004	33	11	0
4198	2004	54	11	0
4199	2004	53	11	0
4200	2004	42	11	0
4201	2004	33	14	0
4203	2004	54	14	0
4204	2004	53	14	0
4205	2004	42	14	0
4233	2004	33	121	0
4236	2004	54	121	0
4237	2004	53	121	0
4238	2004	55	121	0
4239	2004	69	121	0
4240	2004	42	121	0
4270	2004	33	26	0
4272	2004	59	26	0
4273	2004	60	26	0
4274	2004	54	26	0
