ev	tkaz	ertek
2004	71	1026
2004	13	1040
2004	2	1095
2004	3	930
2004	4	792
2004	5	939
2004	6	792
2004	8	1160
2004	9	1690
2004	10	1070
2004	11	340
2004	12	1690
2004	14	960
2004	15	1200
2004	16	660
2004	17	660
2004	18	737
2004	19	499
2004	20	1240
2004	21	1180
2004	22	1240
2004	23	460
2004	24	1040
2004	25	370
2004	26	1180
2004	27	770
2004	28	1220
2004	29	1220
2004	30	735
2004	31	1040
2004	32	800
2004	33	849
2004	34	1220
2004	35	1230
2004	36	1060
2004	37	1060
2004	38	1030
2004	39	1000
2004	40	1105
2004	41	1010
2004	42	1040
2004	43	866
2004	44	1240
2004	45	370
2004	46	1070
2004	47	420
2004	48	660
2004	49	660
2004	50	660
2004	51	660
2004	52	433
2004	53	660
2004	54	660
2004	55	433
2004	56	499
2004	57	522
2004	58	827
2004	59	998
2004	60	998
2004	61	627
2004	62	726
2004	63	321
2004	64	343
2004	65	627
2004	69	1340
2004	70	1280
2005	2	1172
2005	3	990
2005	4	847
2005	5	1005
2005	6	1140
2005	7	1316
2005	8	1241
2005	9	1900
2005	10	1145
2005	11	364
2005	12	1900
2005	13	1112
2005	14	977
2005	15	1200
2005	16	705
2005	17	705
2005	18	789
2005	19	533
2005	20	1388
2005	21	1263
2005	22	1320
2005	23	492
2005	24	1112
2005	25	396
2005	26	1280
2005	27	823
2005	28	1306
2005	29	1306
2005	30	1850
2005	31	680
2005	32	856
2005	33	909
2005	34	1306
2005	35	1316
2005	36	1130
2005	37	1130
2005	38	1103
2005	40	1182
2005	41	1080
2005	42	1112
2005	43	1500
2005	44	1320
2005	45	396
2005	47	1316
2005	48	705
2005	49	705
2005	50	705
2005	51	705
2005	52	455
2005	53	705
2005	54	705
2005	55	455
2005	56	533
2005	57	559
2005	58	885
2005	59	1068
2005	60	1068
2005	61	671
2005	62	776
2005	64	368
2005	65	671
2005	69	1433
2005	70	1231
2005	71	952
2005	72	557
2005	73	1145
2005	74	1800
2005	75	1680
2005	76	1600
2005	77	1060
2006	2	1280
2006	3	990
2006	4	932
2006	5	1100
2006	7	1420
2006	8	1365
2006	9	2090
2006	10	1260
2006	11	364
2006	12	2199
2006	13	1220
2006	15	1300
2006	18	868
2006	19	586
2006	20	1498
2006	22	1420
2006	23	540
2006	24	1220
2006	25	430
2006	26	1390
2006	27	905
2006	28	1420
2006	29	1420
2006	30	1980
2006	32	942
2006	33	995
2006	34	1420
2006	35	1420
2006	40	1220
2006	43	1650
2006	44	1420
2006	45	430
2006	47	1420
2006	48	770
2006	49	770
2006	50	770
2006	51	770
2006	52	495
2006	53	770
2006	54	770
2006	55	495
2006	56	586
2006	57	615
2006	58	974
2006	59	1175
2006	60	1175
2006	61	740
2006	62	776
2006	65	740
2006	69	1495
2006	70	1270
2006	71	952
2006	72	613
2006	73	1195
2006	74	1800
2006	77	1168
2006	78	990
2006	79	1190
2006	80	940
2006	81	940
2006	82	1650
2006	83	1150
2006	84	1167
2006	85	1167
2006	86	1395
2006	87	1420
2006	88	726
2006	89	1150
2006	101	1290
2007	2	1345
2007	3	990
2007	4	980
2007	5	1157
2007	6	1250
2007	7	1495
2007	8	1436
2007	9	2298
2007	10	1326
2007	11	383
2007	12	2418
2007	13	1285
2007	15	1300
2007	16	810
2007	17	810
2007	18	914
2007	19	617
2007	20	1498
2007	22	1490
2007	23	565
2007	24	1280
2007	25	450
2007	26	1465
2007	27	952
2007	28	1496
2007	29	1496
2007	30	2080
2007	32	991
2007	33	1047
2007	34	1395
2007	35	1495
2007	36	1270
2007	37	1270
2007	40	1270
2007	42	1283
2007	43	1650
2007	47	1496
2007	50	810
2007	51	810
2007	52	520
2007	53	810
2007	54	810
2007	55	520
2007	56	617
2007	57	648
2007	58	990
2007	59	1236
2007	60	1236
2007	62	776
2007	65	810
2007	70	1270
2007	72	646
2007	74	1950
2007	75	1680
2007	80	990
2007	81	990
2007	83	1212
2007	86	1465
2007	88	1040
2007	89	1212
2007	90	980
2007	95	1190
2007	99	1270
2007	101	1350
2007	102	990
2007	103	632
2007	104	990
2007	105	990
2007	106	2314
2007	107	2314
2007	108	2314
2007	109	978
2007	110	1465
2007	111	1465
